price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb
4500.0,2005.0,honda,odyssey,good,6 cylinders,gas,130000.0,clean,automatic,fwd,mid-size,mini-van,silver,32910.0,22.0,4.7 / 5,2021.0
2299.0,2005.0,nissan,altima,like new,4 cylinders,gas,185000.0,clean,automatic,fwd,full-size,sedan,blue,25225.0,32.0,4.3 / 5,2021.0
5600.0,2009.0,honda,odyssey,good,6 cylinders,gas,181779.0,clean,automatic,fwd,full-size,mini-van,silver,32910.0,22.0,4.7 / 5,2021.0
4000.0,2009.0,honda,odyssey,good,6 cylinders,gas,219000.0,clean,automatic,fwd,full-size,mini-van,silver,32910.0,22.0,4.7 / 5,2021.0
4150.0,2008.0,nissan,altima,fair,4 cylinders,gas,105704.0,clean,automatic,fwd,compact,sedan,green,25225.0,32.0,4.3 / 5,2021.0
6990.0,2008.0,honda,civic,excellent,4 cylinders,gas,79000.0,clean,automatic,fwd,compact,sedan,black,22005.0,33.0,4.6 / 5,2021.0
3000.0,2007.0,ford,explorer,excellent,6 cylinders,gas,325000.0,clean,automatic,fwd,full-size,SUV,blue,33470.0,24.0,4.1 / 5,2021.0
2300.0,2001.0,honda,civic,good,4 cylinders,gas,115500.0,clean,automatic,fwd,compact,sedan,black,22005.0,33.0,4.6 / 5,2021.0
1400.0,2010.0,chevrolet,impala,good,6 cylinders,gas,200000.0,clean,automatic,fwd,full-size,sedan,white,32495.0,22.0,4.5 / 5,2020.0
2600.0,2004.0,chrysler,pacifica,good,6 cylinders,gas,148000.0,clean,automatic,fwd,full-size,wagon,white,34990.0,22.0,4.5 / 5,2020.0
12500.0,2017.0,chevrolet,malibu,good,4 cylinders,gas,60000.0,clean,automatic,fwd,full-size,sedan,blue,22970.0,32.0,4.1 / 5,2020.0
8299.0,2014.0,nissan,altima,good,4 cylinders,gas,105000.0,clean,automatic,fwd,full-size,sedan,red,25225.0,32.0,4.3 / 5,2021.0
10500.0,2010.0,nissan,armada,good,8 cylinders,gas,164575.0,clean,automatic,4wd,full-size,SUV,silver,48895.0,16.0,4.1 / 5,2020.0
2300.0,2008.0,nissan,altima,good,4 cylinders,gas,187000.0,clean,automatic,fwd,full-size,sedan,grey,25225.0,32.0,4.3 / 5,2021.0
5900.0,2010.0,volvo,xc90,excellent,6 cylinders,gas,141800.0,clean,automatic,4wd,full-size,SUV,silver,52445.0,26.0,4.3 / 5,2020.0
6700.0,2012.0,chevrolet,traverse,excellent,6 cylinders,gas,111231.0,salvage,automatic,fwd,full-size,truck,black,30995.0,21.0,4.3 / 5,2021.0
0.0,2014.0,dodge,challenger,excellent,6 cylinders,gas,64672.0,clean,automatic,rwd,mid-size,coupe,white,29590.0,23.0,4.0 / 5,2020.0
6775.0,2013.0,chevrolet,cruze,like new,4 cylinders,gas,149177.0,clean,automatic,fwd,full-size,sedan,white,18870.0,33.0,4.2 / 5,2019.0
6900.0,2014.0,hyundai,veloster,excellent,4 cylinders,gas,90000.0,clean,automatic,fwd,full-size,hatchback,white,19775.0,28.0,4.4 / 5,2020.0
3100.0,2006.0,ford,taurus,good,6 cylinders,gas,103000.0,clean,automatic,fwd,full-size,sedan,white,28895.0,21.0,3.1 / 5,2019.0
3900.0,2003.0,volvo,xc90,fair,6 cylinders,gas,175000.0,clean,automatic,4wd,full-size,SUV,grey,52445.0,26.0,4.3 / 5,2020.0
14281.0,2016.0,ford,fusion,good,4 cylinders,gas,87088.0,clean,automatic,fwd,full-size,sedan,white,24365.0,24.0,4.1 / 5,2020.0
4800.0,2009.0,hyundai,santa fe,good,6 cylinders,gas,164000.0,salvage,automatic,fwd,mid-size,SUV,blue,28025.0,26.0,4.7 / 5,2021.0
6995.0,2007.0,honda,pilot,good,6 cylinders,gas,135342.0,clean,automatic,4wd,full-size,SUV,silver,33370.0,23.0,4.6 / 5,2021.0
5000.0,2004.0,honda,cr-v,excellent,4 cylinders,gas,150000.0,clean,manual,fwd,mid-size,SUV,silver,26470.0,30.0,4.7 / 5,2021.0
6000.0,2010.0,nissan,altima,good,6 cylinders,gas,132700.0,clean,manual,fwd,compact,coupe,silver,25225.0,32.0,4.3 / 5,2021.0
17495.0,2014.0,honda,pilot,excellent,6 cylinders,gas,77643.0,clean,automatic,fwd,full-size,SUV,white,33370.0,23.0,4.6 / 5,2021.0
4400.0,2004.0,volkswagen,beetle,good,4 cylinders,gas,150000.0,clean,automatic,fwd,compact,hatchback,blue,23940.0,29.0,3.6 / 5,2019.0
16350.0,2017.0,honda,ridgeline,excellent,6 cylinders,gas,82000.0,rebuilt,automatic,fwd,mid-size,pickup,blue,35020.0,22.0,4.3 / 5,2020.0
