price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price_kbb,mpg,rating,year_kbb,year_difference,new_price,depreciation,depreciation per year
2500.0,2000,chevrolet,suburban,good,8,gas,185661.0,clean,automatic,4wd,full-size,SUV,brown,52995.0,,4.6,2021,21,34964.819,0.9284995583703722,0.11805140524952129
6995.0,2011,subaru,impreza,good,4,gas,133964.0,clean,automatic,4wd,mid-size,hatchback,blue,19720.0,Low mpg (20 - 30),4.2,2021,10,16177.268,0.5676031329888335,0.08042267502341893
20000.0,2011,chevrolet,camaro,excellent,8,gas,111360.0,clean,automatic,rwd,full-size,coupe,yellow,25995.0,Low mpg (20 - 30),4.3,2020,9,21751.453,0.08052119552657022,0.009284220370049723
4200.0,2003,ford,mustang,good,6,gas,108000.0,clean,automatic,rwd,mid-size,convertible,black,27765.0,Low mpg (20 - 30),4.6,2020,17,19828.724,0.7881860678478353,0.08725331137766823
12000.0,2006,subaru,wrx,good,4,gas,121567.0,clean,manual,4wd,sub-compact,hatchback,silver,28519.0,Low mpg (20 - 30),4.3,2020,14,21613.838,0.4448001322115952,0.041159471901318856
8350.0,2016,kia,forte,excellent,4,gas,105104.0,clean,automatic,fwd,mid-size,sedan,black,18855.0,Medium mpg (30 - 40),4.0,2021,5,17077.554,0.5110541006048056,0.13333319685205525
14000.0,2016,subaru,forester,excellent,4,gas,38000.0,salvage,automatic,4wd,full-size,SUV,blue,25845.0,Low mpg (20 - 30),4.0,2021,5,23408.613,0.4019295376449685,0.09770101094345851
2750.0,2006,kia,rio,good,4,gas,129450.0,clean,automatic,fwd,compact,sedan,black,16815.0,Medium mpg (30 - 40),4.3,2020,14,12743.669,0.7842065734758177,0.10374559995409405
2750.0,1998,subaru,forester,good,4,gas,216620.0,clean,manual,4wd,mid-size,wagon,black,25845.0,Low mpg (20 - 30),4.0,2021,23,16389.76,0.8322123081729079,0.07467580647493088
2850.0,2003,ford,escape,good,4,gas,97475.0,clean,manual,fwd,mid-size,SUV,white,26080.0,Low mpg (20 - 30),4.3,2020,17,18625.36,0.846982823419252,0.10454546503875861
9499.0,2008,acura,mdx,like new,6,gas,155000.0,clean,automatic,4wd,mid-size,SUV,black,45525.0,Low mpg (20 - 30),4.6,2020,12,35896.152,0.7353755355170103,0.10487057697887592
8299.0,2013,chevrolet,cruze,like new,4,gas,80000.0,rebuilt,automatic,fwd,compact,sedan,white,18870.0,Medium mpg (30 - 40),4.2,2019,6,16756.02,0.5047153202252086,0.11050710704882138
16995.0,2017,nissan,altima,excellent,4,gas,69802.0,clean,automatic,fwd,mid-size,sedan,black,25225.0,Medium mpg (30 - 40),4.3,2021,4,23304.001,0.2707260869067075,0.07589212826725933
10995.0,2008,ford,edge,excellent,6,gas,99428.0,clean,automatic,4wd,full-size,SUV,silver,32345.0,Low mpg (20 - 30),3.8,2020,12,25503.812,0.5688879764326995,0.06771396691687626
21000.0,2011,chevrolet,tahoe,excellent,8,gas,153508.0,clean,automatic,4wd,full-size,SUV,brown,50295.0,,4.7,2021,10,41259.418,0.49102529754539914,0.06530564521696769
12995.0,2010,chevrolet,traverse,excellent,6,gas,95986.0,clean,automatic,4wd,full-size,SUV,red,30995.0,Low mpg (20 - 30),4.3,2021,11,24928.133,0.4787014334366718,0.05750166057102157
15995.0,2010,acura,mdx,good,6,gas,91085.0,clean,automatic,4wd,full-size,SUV,silver,45525.0,Low mpg (20 - 30),4.6,2020,10,37346.356,0.5717118960682537,0.0813002437111292
11995.0,2008,acura,mdx,good,6,gas,120264.0,clean,automatic,4wd,full-size,SUV,grey,45525.0,Low mpg (20 - 30),4.6,2020,12,35896.152,0.6658416200154267,0.08729724161232821
15995.0,2011,audi,q5,good,4,gas,94906.0,clean,automatic,4wd,full-size,SUV,white,44395.0,Low mpg (20 - 30),4.7,2021,10,36419.363,0.5608105501460857,0.07898820956682795
14995.0,2006,honda,pilot,good,6,gas,45790.0,clean,automatic,4wd,full-size,SUV,blue,33370.0,Low mpg (20 - 30),4.6,2021,15,24794.402,0.39522639021501704,0.03297094680610768
8995.0,2002,chevrolet,suburban,good,8,gas,148187.0,clean,automatic,4wd,full-size,SUV,custom,52995.0,,4.6,2021,19,36377.398,0.7527310776873046,0.07090193726694938
1450.0,2004,ford,taurus,good,6,gas,150000.0,clean,automatic,fwd,mid-size,sedan,black,28895.0,Low mpg (20 - 30),3.1,2019,15,21469.411,0.9324620503096243,0.16445497409580478
1200.0,2011,chevrolet,malibu,good,4,gas,89603.0,clean,automatic,fwd,mid-size,sedan,blue,22970.0,Medium mpg (30 - 40),4.1,2020,9,19220.268,0.9375659069894343,0.2652188971547236
16495.0,2016,honda,cr-v,excellent,4,gas,61930.0,clean,automatic,4wd,full-size,SUV,black,26470.0,Low mpg (20 - 30),4.7,2021,5,23974.695,0.31198290530911865,0.07206010710841904
2850.0,2000,dodge,durango,good,8,gas,215650.0,clean,manual,4wd,mid-size,pickup,blue,33260.0,Low mpg (20 - 30),3.1,2021,21,21944.144,0.8701248041390905,0.09262467985089373
5995.0,2014,kia,soul,good,4,gas,125000.0,clean,automatic,fwd,compact,hatchback,brown,18610.0,Low mpg (20 - 30),4.6,2021,7,16201.125,0.6299639685515666,0.13239794199907495
4995.0,2001,chevrolet,tahoe,good,8,gas,217777.0,clean,automatic,4wd,full-size,SUV,white,50295.0,,4.7,2021,20,33847.093,0.8524245494288092,0.09123685492725442
13995.0,2011,dodge,charger,excellent,8,gas,102336.0,clean,automatic,rwd,full-size,sedan,black,31490.0,Low mpg (20 - 30),3.6,2021,10,25832.768,0.45824620884606715,0.05945366401658725
5800.0,2010,volvo,xc90,good,6,gas,141000.0,clean,automatic,4wd,full-size,SUV,silver,52445.0,Low mpg (20 - 30),4.3,2020,10,43023.167,0.8651889108953787,0.18158691998547516
6250.0,2009,subaru,forester,like new,4,gas,114423.0,clean,automatic,4wd,full-size,SUV,silver,25845.0,Low mpg (20 - 30),4.0,2021,12,20378.606,0.6933058129687575,0.09379706997314863
10800.0,2013,honda,odyssey,excellent,6,gas,142679.0,clean,automatic,fwd,full-size,mini-van,white,32910.0,Low mpg (20 - 30),4.7,2021,8,28088.368,0.6154991988142564,0.11261485118381975
4980.0,2007,ford,edge,excellent,6,gas,164323.0,clean,automatic,4wd,mid-size,SUV,black,32345.0,Low mpg (20 - 30),3.8,2020,13,25003.737,0.8008297719656866,0.11672856373818763
5900.0,2008,subaru,impreza,excellent,4,gas,109000.0,clean,automatic,4wd,compact,sedan,silver,19720.0,Low mpg (20 - 30),4.2,2021,13,15244.201,0.6129675802621599,0.07041681917431508
3900.0,2002,honda,civic,excellent,4,gas,116000.0,clean,automatic,fwd,compact,sedan,brown,22005.0,Medium mpg (30 - 40),4.6,2021,19,15104.909,0.741805793070319,0.06878531628621021
3950.0,2006,nissan,murano,good,6,gas,171687.0,clean,automatic,4wd,full-size,SUV,grey,32825.0,Low mpg (20 - 30),4.1,2020,14,24877.248,0.8412203793602894,0.12317300622367078
